drug_id,name,name_vi,source_link,is_active
1,'Lepirudin','Lepirudin','DB00001',TRUE
2,'Denileukin diftitox','Denileukin diftitox','DB00004',TRUE
3,'Bivalirudin','Bivalirudin','DB00006',TRUE
4,'Peginterferon alfa-2a','Peginterferon alfa-2a','DB00008',TRUE
5,'Alteplase','Alteplase','DB00009',TRUE
6,'Interferon alfa-n1','Interferon alfa-n1','DB00011',TRUE
7,'Darbepoetin alfa','Darbepoetin alfa','DB00012',TRUE
8,'Urokinase','Urokinase','DB00013',TRUE
9,'Reteplase','Reteplase','DB00015',TRUE
10,'Erythropoietin','Erythropoietin','DB00016',TRUE
11,'Salmon calcitonin','Salmon calcitonin','DB00017',TRUE
12,'Sargramostim','Sargramostim','DB00020',TRUE
13,'Peginterferon alfa-2b','Peginterferon alfa-2b','DB00022',TRUE
14,'Anistreplase','Anistreplase','DB00029',TRUE
15,'Insulin human','Insulin human','DB00030',TRUE
16,'Tenecteplase','Tenecteplase','DB00031',TRUE
17,'Interferon gamma-1b','Interferon gamma-1b','DB00033',TRUE
18,'Interferon alfa-2a','Interferon alfa-2a','DB00034',TRUE
19,'Abciximab','Abciximab','DB00054',TRUE
20,'Drotrecogin alfa','Drotrecogin alfa','DB00055',TRUE
21,'Indium In-111 satumomab pendetide','Indium In-111 satumomab pendetide','DB00057',TRUE
22,'Pegaspargase','Pegaspargase','DB00059',TRUE
23,'Interferon beta-1a','Interferon beta-1a','DB00060',TRUE
24,'Eptifibatide','Eptifibatide','DB00063',TRUE
25,'Interferon beta-1b','Interferon beta-1b','DB00068',TRUE
26,'Insulin pork','Insulin pork','DB00071',TRUE
27,'Ibritumomab tiuxetan','Ibritumomab tiuxetan','DB00078',TRUE
28,'Pancrelipase','Pancrelipase','DB00085',TRUE
29,'Streptokinase','Streptokinase','DB00086',TRUE
30,'Cyclosporine','Cyclosporine','DB00091',TRUE
31,'Efalizumab','Efalizumab','DB00095',TRUE
32,'Octreotide','Octreotide','DB00104',TRUE
33,'Interferon alfa-2b','Interferon alfa-2b','DB00105',TRUE
34,'Daclizumab','Daclizumab','DB00111',TRUE
35,'Ornithine','Ornithine','DB00129',TRUE
