drug_id,nutrient_id,warning_message_vi,warning_message_en,severity
839,36,'Avoid Ginkgo while using this thuốc','Avoid Ginkgo while using this medication',moderate
853,36,'Avoid Ginkgo while using this thuốc','Avoid Ginkgo while using this medication',moderate
853,41,'Avoid echinacea.','Avoid echinacea.',moderate
840,36,'Avoid Ginkgo while using this thuốc','Avoid Ginkgo while using this medication',moderate
7,29,'Administer sắt supplement.','Administer iron supplement.',minor
842,36,'Avoid Ginkgo while using this thuốc','Avoid Ginkgo while using this medication',moderate
855,36,'Avoid Ginkgo while using this thuốc','Avoid Ginkgo while using this medication',moderate
10,29,'Administer sắt supplement.','Administer iron supplement.',minor
11,11,'Administer canxi supplement.','Administer calcium supplement.',minor
13,11,'Limit caffeine intake.','Limit caffeine intake.',minor
841,36,'Avoid Ginkgo while using this thuốc','Avoid Ginkgo while using this medication',moderate
849,36,'Avoid Ginkgo while using this thuốc','Avoid Ginkgo while using this medication',moderate
19,36,'Avoid Ginkgo while using this thuốc','Avoid Ginkgo while using this medication',moderate
20,36,'Avoid Ginkgo while using this thuốc','Avoid Ginkgo while using this medication',moderate
24,36,'Avoid Ginkgo while using this thuốc','Avoid Ginkgo while using this medication',moderate
27,36,'Avoid Ginkgo while using this thuốc','Avoid Ginkgo while using this medication',moderate
854,36,'Avoid Ginkgo while using this thuốc','Avoid Ginkgo while using this medication',moderate
30,36,'Avoid kali-containing products.','Avoid potassium-containing products.',moderate
119,55,'Avoid vitamin C-rich foods while using this thuốc','Avoid Vitamin C-rich foods while using this medication',moderate
215,11,'Limit caffeine intake.','Limit caffeine intake.',minor
218,36,'Avoid kali-containing products.','Avoid potassium-containing products.',moderate
219,11,'Avoid sữa / Dairy while using this thuốc','Avoid Milk / Dairy while using this medication',moderate
224,11,'Limit caffeine intake.','Limit caffeine intake.',minor
225,55,'Limit foods and supplements high in vitamin C.','Limit foods and supplements high in vitamin C.',minor
227,11,'Limit caffeine intake.','Limit caffeine intake.',minor
264,41,'Avoid echinacea.','Avoid echinacea.',moderate
275,11,'Avoid sữa / Dairy while using this thuốc','Avoid Milk / Dairy while using this medication',moderate
277,11,'Avoid canxi while using this thuốc','Avoid Calcium while using this medication',moderate
280,41,'Avoid echinacea.','Avoid echinacea.',moderate
283,36,'Avoid Ginkgo while using this thuốc','Avoid Ginkgo while using this medication',moderate
847,36,'Avoid Ginkgo while using this thuốc','Avoid Ginkgo while using this medication',moderate
300,41,'Avoid echinacea.','Avoid echinacea.',moderate
301,11,'Limit caffeine intake.','Limit caffeine intake.',minor
1277,11,'Avoid sữa and dairy products.','Avoid milk and dairy products.',moderate
324,11,'Limit caffeine intake.','Limit caffeine intake.',minor
358,11,'Limit caffeine intake.','Limit caffeine intake.',minor
360,11,'Avoid caffeine.','Avoid caffeine.',moderate
1047,36,'Avoid kali-containing products.','Avoid potassium-containing products.',moderate
389,36,'Avoid kali-containing products.','Avoid potassium-containing products.',moderate
389,11,'Avoid canxi while using this thuốc','Avoid Calcium while using this medication',moderate
395,11,'Limit caffeine intake.','Limit caffeine intake.',minor
397,11,'Limit caffeine intake.','Limit caffeine intake.',minor
402,11,'Limit caffeine intake.','Limit caffeine intake.',minor
405,36,'Avoid Ginkgo while using this thuốc','Avoid Ginkgo while using this medication',moderate
415,36,'Avoid kali-containing products.','Avoid potassium-containing products.',moderate
415,29,'Avoid sắt while using this thuốc','Avoid Iron while using this medication',moderate
438,29,'Avoid sắt supplements.','Avoid iron supplements.',moderate
438,11,'Avoid canxi supplements/canxi rich foods.','Avoid calcium supplements/calcium rich foods.',moderate
443,11,'Limit caffeine intake.','Limit caffeine intake.',minor
472,36,'Avoid kali-containing products.','Avoid potassium-containing products.',moderate
843,36,'Avoid Ginkgo while using this thuốc','Avoid Ginkgo while using this medication',moderate
1208,11,'Avoid sữa / Dairy while using this thuốc','Avoid Milk / Dairy while using this medication',moderate
489,41,'Avoid echinacea.','Avoid echinacea.',moderate
492,36,'Avoid kali-containing products.','Avoid potassium-containing products.',moderate
499,29,'Do not take aluminum, magie, or sắt containing products up to 2 hours before or after this thuốc.','Do not take aluminum, magnesium, or iron containing products up to 2 hours before or after this medication.',major
500,11,'Avoid sữa and dairy products.','Avoid milk and dairy products.',moderate
1139,36,'Avoid kali-containing products.','Avoid potassium-containing products.',moderate
513,29,'Avoid sắt supplements.','Avoid iron supplements.',moderate
