drug_id,condition_id,treatment_notes,treatment_notes_vi,is_primary
2031,3852,'Treatment of asthma Limit vitamin C intake Avoid fiber supplements May interact with vitamin K May interact with vitamin K Take ITI-214 as directed by physician',NULL,FALSE
2031,61374,'Treatment of asthma Limit vitamin C intake Avoid fiber supplements May interact with vitamin K May interact with vitamin K Take ITI-214 as directed by physician',NULL,FALSE
1410,66247,'Treatment of pain and inflammation Treatment of allergic rhinitis Treatment of heart failure Treatment of pain and inflammation Treatment of allergic rhinitis Treatment of heart failure Avoid iron-ric',NULL,FALSE
1410,10701,'Treatment of pain and inflammation Treatment of allergic rhinitis Treatment of heart failure Treatment of pain and inflammation Treatment of allergic rhinitis Treatment of heart failure Avoid iron-ric',NULL,FALSE
1410,10700,'Treatment of pain and inflammation Treatment of allergic rhinitis Treatment of heart failure Treatment of pain and inflammation Treatment of allergic rhinitis Treatment of heart failure Avoid iron-ric',NULL,FALSE
1531,292,'Treatment of bacterial infections Treatment of pain and inflammation 1-DECYL-3-TRIFLUORO ETHYL-SN-GLYCERO-2-PHOSPHOMETHANOL 1-DECYL-3-TRIFLUORO ETHYL-SN-GLYCERO-2-PHOSPHOMETHANOL tablets 1-DECYL-3-TRI',NULL,FALSE
1531,23237,'Treatment of bacterial infections Treatment of pain and inflammation 1-DECYL-3-TRIFLUORO ETHYL-SN-GLYCERO-2-PHOSPHOMETHANOL 1-DECYL-3-TRIFLUORO ETHYL-SN-GLYCERO-2-PHOSPHOMETHANOL tablets 1-DECYL-3-TRI',NULL,FALSE
1531,23236,'Treatment of bacterial infections Treatment of pain and inflammation 1-DECYL-3-TRIFLUORO ETHYL-SN-GLYCERO-2-PHOSPHOMETHANOL 1-DECYL-3-TRIFLUORO ETHYL-SN-GLYCERO-2-PHOSPHOMETHANOL tablets 1-DECYL-3-TRI',NULL,FALSE
1533,10701,'Treatment of allergic rhinitis 3-[(4-Carboxy-2-hydroxyphenyl)sulfamoyl]-2-thiophenecarboxylic acid 3-[(4-Carboxy-2-hydroxyphenyl)sulfamoyl]-2-thiophenecarboxylic acid tablets 3-[(4-Carboxy-2-hydroxyph',NULL,FALSE
1533,10700,'Treatment of allergic rhinitis 3-[(4-Carboxy-2-hydroxyphenyl)sulfamoyl]-2-thiophenecarboxylic acid 3-[(4-Carboxy-2-hydroxyphenyl)sulfamoyl]-2-thiophenecarboxylic acid tablets 3-[(4-Carboxy-2-hydroxyph',NULL,FALSE
1533,3852,'Treatment of allergic rhinitis 3-[(4-Carboxy-2-hydroxyphenyl)sulfamoyl]-2-thiophenecarboxylic acid 3-[(4-Carboxy-2-hydroxyphenyl)sulfamoyl]-2-thiophenecarboxylic acid tablets 3-[(4-Carboxy-2-hydroxyph',NULL,FALSE
1247,3852,'Treatment of rheumatoid arthritis Treatment of diabetes mellitus type 2 Treatment of allergic rhinitis scyllo-inositol tablets Treatment of rheumatoid arthritis Treatment of diabetes mellitus type 2 T',NULL,FALSE
1247,10701,'Treatment of rheumatoid arthritis Treatment of diabetes mellitus type 2 Treatment of allergic rhinitis scyllo-inositol tablets Treatment of rheumatoid arthritis Treatment of diabetes mellitus type 2 T',NULL,FALSE
1247,10700,'Treatment of rheumatoid arthritis Treatment of diabetes mellitus type 2 Treatment of allergic rhinitis scyllo-inositol tablets Treatment of rheumatoid arthritis Treatment of diabetes mellitus type 2 T',NULL,FALSE
1874,10701,'Treatment of allergic rhinitis Sultamicillin tablets Treatment of allergic rhinitis Do not consume with magnesium Avoid fiber supplements May interact with calcium carbonate May interact with calcium ',NULL,FALSE
1874,10700,'Treatment of allergic rhinitis Sultamicillin tablets Treatment of allergic rhinitis Do not consume with magnesium Avoid fiber supplements May interact with calcium carbonate May interact with calcium ',NULL,FALSE
777,23237,'Treatment of pain and inflammation Treatment of pain and inflammation Do not consume with magnesium Take Colesevelam as directed by physician',NULL,FALSE
1948,66247,'Treatment of heart failure Treatment of allergic rhinitis Treatment of hypertension Edetate sodium tablets Treatment of heart failure Treatment of allergic rhinitis Treatment of hypertension Avoid iro',NULL,FALSE
1948,3852,'Treatment of heart failure Treatment of allergic rhinitis Treatment of hypertension Edetate sodium tablets Treatment of heart failure Treatment of allergic rhinitis Treatment of hypertension Avoid iro',NULL,FALSE
1948,10701,'Treatment of heart failure Treatment of allergic rhinitis Treatment of hypertension Edetate sodium tablets Treatment of heart failure Treatment of allergic rhinitis Treatment of hypertension Avoid iro',NULL,FALSE
1745,3852,'Treatment of depression and anxiety Treatment of allergic rhinitis Treatment of chronic pain Influenza B virus B/Brisbane/60/2008 antigen (propiolactone inactivated) Influenza B virus B/Brisbane/60/20',NULL,FALSE
1745,10701,'Treatment of depression and anxiety Treatment of allergic rhinitis Treatment of chronic pain Influenza B virus B/Brisbane/60/2008 antigen (propiolactone inactivated) Influenza B virus B/Brisbane/60/20',NULL,FALSE
1223,23237,'Treatment of pain and inflammation Treatment of chronic pain Treatment of asthma L-Alpha-Glycerophosphorylserine L-Alpha-Glycerophosphorylserine tablets L-Alpha-Glycerophosphorylserine oral Treatment ',NULL,FALSE
1223,23236,'Treatment of pain and inflammation Treatment of chronic pain Treatment of asthma L-Alpha-Glycerophosphorylserine L-Alpha-Glycerophosphorylserine tablets L-Alpha-Glycerophosphorylserine oral Treatment ',NULL,FALSE
1223,61248,'Treatment of pain and inflammation Treatment of chronic pain Treatment of asthma L-Alpha-Glycerophosphorylserine L-Alpha-Glycerophosphorylserine tablets L-Alpha-Glycerophosphorylserine oral Treatment ',NULL,FALSE
1063,66247,'Treatment of heart failure Treatment of heart failure Avoid fiber supplements Avoid iron-rich foods May deplete zinc levels Take Quinupristin as directed by physician',NULL,FALSE
1063,66253,'Treatment of heart failure Treatment of heart failure Avoid fiber supplements Avoid iron-rich foods May deplete zinc levels Take Quinupristin as directed by physician',NULL,FALSE
1063,73654,'Treatment of heart failure Treatment of heart failure Avoid fiber supplements Avoid iron-rich foods May deplete zinc levels Take Quinupristin as directed by physician',NULL,FALSE
1870,10701,'Treatment of allergic rhinitis Treatment of allergic rhinitis Take Anecortave as directed by physician',NULL,FALSE
1870,10700,'Treatment of allergic rhinitis Treatment of allergic rhinitis Take Anecortave as directed by physician',NULL,FALSE
1272,66247,'Treatment of bacterial infections Treatment of heart failure Treatment of asthma Treatment of bacterial infections Treatment of heart failure Avoid iron-rich foods Take SU9516 as directed by physician',NULL,FALSE
1272,292,'Treatment of bacterial infections Treatment of heart failure Treatment of asthma Treatment of bacterial infections Treatment of heart failure Avoid iron-rich foods Take SU9516 as directed by physician',NULL,FALSE
1272,66253,'Treatment of bacterial infections Treatment of heart failure Treatment of asthma Treatment of bacterial infections Treatment of heart failure Avoid iron-rich foods Take SU9516 as directed by physician',NULL,FALSE
1617,3852,'Treatment of chronic pain Treatment of chronic pain Do not take with calcium supplements Limit vitamin C intake Take Etofibrate as directed by physician',NULL,FALSE
1400,3562,'Treatment of diabetes mellitus type 2 Treatment of asthma Treatment of diabetes mellitus type 2 May deplete zinc levels May interact with vitamin K May interact with vitamin K Take XL019 as directed b',NULL,FALSE
1400,3563,'Treatment of diabetes mellitus type 2 Treatment of asthma Treatment of diabetes mellitus type 2 May deplete zinc levels May interact with vitamin K May interact with vitamin K Take XL019 as directed b',NULL,FALSE
1400,3561,'Treatment of diabetes mellitus type 2 Treatment of asthma Treatment of diabetes mellitus type 2 May deplete zinc levels May interact with vitamin K May interact with vitamin K Take XL019 as directed b',NULL,FALSE
1404,71258,'Treatment of hypertension Treatment of hypertension Do not consume with magnesium May deplete zinc levels Take Tarenflurbil as directed by physician',NULL,FALSE
1801,10701,'Treatment of hypertension Treatment of asthma Treatment of allergic rhinitis Treatment of hypertension Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Lersi',NULL,FALSE
1801,10700,'Treatment of hypertension Treatment of asthma Treatment of allergic rhinitis Treatment of hypertension Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Lersi',NULL,FALSE
1801,3852,'Treatment of hypertension Treatment of asthma Treatment of allergic rhinitis Treatment of hypertension Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Lersi',NULL,FALSE
1422,10701,'Treatment of allergic rhinitis Treatment of chronic pain Treatment of diabetes mellitus type 2 Treatment of allergic rhinitis Treatment of chronic pain Treatment of diabetes mellitus type 2 Do not con',NULL,FALSE
1422,10700,'Treatment of allergic rhinitis Treatment of chronic pain Treatment of diabetes mellitus type 2 Treatment of allergic rhinitis Treatment of chronic pain Treatment of diabetes mellitus type 2 Do not con',NULL,FALSE
1240,3852,'Treatment of rheumatoid arthritis D-naphthyl-1-acetamido boronic acid alanine D-naphthyl-1-acetamido boronic acid alanine tablets D-naphthyl-1-acetamido boronic acid alanine oral Treatment of rheumato',NULL,FALSE
1240,13508,'Treatment of rheumatoid arthritis D-naphthyl-1-acetamido boronic acid alanine D-naphthyl-1-acetamido boronic acid alanine tablets D-naphthyl-1-acetamido boronic acid alanine oral Treatment of rheumato',NULL,FALSE
1336,66247,'Treatment of heart failure Treatment of chronic pain Treatment of rheumatoid arthritis Carbamic Acid tablets Treatment of heart failure Treatment of chronic pain Treatment of rheumatoid arthritis Limi',NULL,FALSE
1336,3852,'Treatment of heart failure Treatment of chronic pain Treatment of rheumatoid arthritis Carbamic Acid tablets Treatment of heart failure Treatment of chronic pain Treatment of rheumatoid arthritis Limi',NULL,FALSE
1336,66253,'Treatment of heart failure Treatment of chronic pain Treatment of rheumatoid arthritis Carbamic Acid tablets Treatment of heart failure Treatment of chronic pain Treatment of rheumatoid arthritis Limi',NULL,FALSE
1741,66247,'Treatment of pain and inflammation Treatment of heart failure Fraxinus pennsylvanica pollen Fraxinus pennsylvanica pollen tablets Fraxinus pennsylvanica pollen oral Treatment of pain and inflammation ',NULL,FALSE
1741,66253,'Treatment of pain and inflammation Treatment of heart failure Fraxinus pennsylvanica pollen Fraxinus pennsylvanica pollen tablets Fraxinus pennsylvanica pollen oral Treatment of pain and inflammation ',NULL,FALSE
1741,73654,'Treatment of pain and inflammation Treatment of heart failure Fraxinus pennsylvanica pollen Fraxinus pennsylvanica pollen tablets Fraxinus pennsylvanica pollen oral Treatment of pain and inflammation ',NULL,FALSE
1736,66247,'Treatment of chronic pain Treatment of heart failure Treatment of chronic pain Treatment of heart failure May deplete zinc levels Take Cantaloupe as directed by physician',NULL,FALSE
1736,66253,'Treatment of chronic pain Treatment of heart failure Treatment of chronic pain Treatment of heart failure May deplete zinc levels Take Cantaloupe as directed by physician',NULL,FALSE
1736,73654,'Treatment of chronic pain Treatment of heart failure Treatment of chronic pain Treatment of heart failure May deplete zinc levels Take Cantaloupe as directed by physician',NULL,FALSE
1290,61248,'Treatment of pain and inflammation Treatment of rheumatoid arthritis Treatment of depression and anxiety 2-Hydroxy-Tryptophan tablets 2-Hydroxy-Tryptophan oral Treatment of pain and inflammation Treat',NULL,FALSE
1290,61247,'Treatment of pain and inflammation Treatment of rheumatoid arthritis Treatment of depression and anxiety 2-Hydroxy-Tryptophan tablets 2-Hydroxy-Tryptophan oral Treatment of pain and inflammation Treat',NULL,FALSE
1180,3562,'Treatment of diabetes mellitus type 2 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take',NULL,FALSE
1180,3563,'Treatment of diabetes mellitus type 2 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take',NULL,FALSE
1180,3561,'Treatment of diabetes mellitus type 2 4-hydroxybenzoyl-CoA tablets 4-hydroxybenzoyl-CoA oral Treatment of diabetes mellitus type 2 Do not consume with magnesium May interact with vitamin K Do not take',NULL,FALSE
1708,66247,'Treatment of heart failure Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Ta',NULL,FALSE
1708,66253,'Treatment of heart failure Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Ta',NULL,FALSE
1708,73654,'Treatment of heart failure Gastric intrinsic factor Gastric intrinsic factor tablets Gastric intrinsic factor oral Treatment of heart failure May interact with vitamin K May interact with vitamin K Ta',NULL,FALSE
1939,3562,'Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Do not take with calcium supplem',NULL,FALSE
1939,3563,'Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Do not take with calcium supplem',NULL,FALSE
1939,3561,'Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of depression and anxiety Do not take with calcium supplem',NULL,FALSE
1323,3562,'Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis May interact with vitamin K Do not c',NULL,FALSE
1323,3563,'Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis May interact with vitamin K Do not c',NULL,FALSE
1323,3561,'Treatment of asthma Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis Treatment of diabetes mellitus type 2 Treatment of rheumatoid arthritis May interact with vitamin K Do not c',NULL,FALSE
2075,10701,'Treatment of allergic rhinitis Treatment of rheumatoid arthritis Treatment of allergic rhinitis Treatment of rheumatoid arthritis May interact with calcium carbonate May interact with calcium carbonat',NULL,FALSE
2075,10700,'Treatment of allergic rhinitis Treatment of rheumatoid arthritis Treatment of allergic rhinitis Treatment of rheumatoid arthritis May interact with calcium carbonate May interact with calcium carbonat',NULL,FALSE
1057,10701,'Treatment of allergic rhinitis Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Saprisartan as directed by physician',NULL,FALSE
1057,10700,'Treatment of allergic rhinitis Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Saprisartan as directed by physician',NULL,FALSE
1057,3852,'Treatment of allergic rhinitis Treatment of allergic rhinitis May interact with vitamin K May interact with vitamin K Take Saprisartan as directed by physician',NULL,FALSE
932,3852,'Treatment of depression and anxiety Treatment of depression and anxiety Avoid iron-rich foods Limit vitamin C intake Take Micafungin as directed by physician',NULL,FALSE
932,61248,'Treatment of depression and anxiety Treatment of depression and anxiety Avoid iron-rich foods Limit vitamin C intake Take Micafungin as directed by physician',NULL,FALSE
932,61247,'Treatment of depression and anxiety Treatment of depression and anxiety Avoid iron-rich foods Limit vitamin C intake Take Micafungin as directed by physician',NULL,FALSE
2085,61374,'Treatment of depression and anxiety Treatment of depression and anxiety May interact with vitamin K May interact with calcium carbonate May deplete zinc levels May interact with vitamin K May interact',NULL,FALSE
2085,61373,'Treatment of depression and anxiety Treatment of depression and anxiety May interact with vitamin K May interact with calcium carbonate May deplete zinc levels May interact with vitamin K May interact',NULL,FALSE
2085,61372,'Treatment of depression and anxiety Treatment of depression and anxiety May interact with vitamin K May interact with calcium carbonate May deplete zinc levels May interact with vitamin K May interact',NULL,FALSE
1951,66247,'Treatment of heart failure Treatment of bacterial infections Treatment of hypertension Treatment of heart failure Treatment of bacterial infections Treatment of hypertension May interact with vitamin ',NULL,FALSE
1951,3852,'Treatment of heart failure Treatment of bacterial infections Treatment of hypertension Treatment of heart failure Treatment of bacterial infections Treatment of hypertension May interact with vitamin ',NULL,FALSE
1951,292,'Treatment of heart failure Treatment of bacterial infections Treatment of hypertension Treatment of heart failure Treatment of bacterial infections Treatment of hypertension May interact with vitamin ',NULL,FALSE
1945,3852,'Treatment of pain and inflammation Treatment of bacterial infections Treatment of allergic rhinitis Treatment of pain and inflammation Treatment of bacterial infections Treatment of allergic rhinitis ',NULL,FALSE
1945,10701,'Treatment of pain and inflammation Treatment of bacterial infections Treatment of allergic rhinitis Treatment of pain and inflammation Treatment of bacterial infections Treatment of allergic rhinitis ',NULL,FALSE
1945,10700,'Treatment of pain and inflammation Treatment of bacterial infections Treatment of allergic rhinitis Treatment of pain and inflammation Treatment of bacterial infections Treatment of allergic rhinitis ',NULL,FALSE
1868,66247,'Treatment of depression and anxiety Treatment of diabetes mellitus type 2 Treatment of heart failure Treatment of depression and anxiety Treatment of diabetes mellitus type 2 Treatment of heart failur',NULL,FALSE
1868,3852,'Treatment of depression and anxiety Treatment of diabetes mellitus type 2 Treatment of heart failure Treatment of depression and anxiety Treatment of diabetes mellitus type 2 Treatment of heart failur',NULL,FALSE
1868,66253,'Treatment of depression and anxiety Treatment of diabetes mellitus type 2 Treatment of heart failure Treatment of depression and anxiety Treatment of diabetes mellitus type 2 Treatment of heart failur',NULL,FALSE
459,66247,'Treatment of asthma Treatment of chronic pain Treatment of heart failure Treatment of chronic pain Treatment of heart failure May interact with calcium carbonate Avoid fiber supplements Do not take wi',NULL,FALSE
459,66253,'Treatment of asthma Treatment of chronic pain Treatment of heart failure Treatment of chronic pain Treatment of heart failure May interact with calcium carbonate Avoid fiber supplements Do not take wi',NULL,FALSE
459,73654,'Treatment of asthma Treatment of chronic pain Treatment of heart failure Treatment of chronic pain Treatment of heart failure May interact with calcium carbonate Avoid fiber supplements Do not take wi',NULL,FALSE
