Nutrient,Unit,Gender,Age Group,Goal,Activity Factor,Recommended Amount (per day)
Vitamin A,µg RAE,Nam,19–30,Giảm cân,1.2,972.0
Vitamin A,µg RAE,Nam,19–30,Giảm cân,1.375,1113.75
Vitamin A,µg RAE,Nam,19–30,Giảm cân,1.55,1255.5
Vitamin A,µg RAE,Nam,19–30,Giảm cân,1.725,1397.25
Vitamin A,µg RAE,Nam,19–30,Giảm cân,1.9,1539.0
Vitamin A,µg RAE,Nam,19–30,Giữ cân,1.2,1080.0
Vitamin A,µg RAE,Nam,19–30,Giữ cân,1.375,1237.5
Vitamin A,µg RAE,Nam,19–30,Giữ cân,1.55,1395.0
Vitamin A,µg RAE,Nam,19–30,Giữ cân,1.725,1552.5
Vitamin A,µg RAE,Nam,19–30,Giữ cân,1.9,1710.0
Vitamin A,µg RAE,Nam,19–30,Tăng cân,1.2,1188.0
Vitamin A,µg RAE,Nam,19–30,Tăng cân,1.375,1361.25
Vitamin A,µg RAE,Nam,19–30,Tăng cân,1.55,1534.5
Vitamin A,µg RAE,Nam,19–30,Tăng cân,1.725,1707.75
Vitamin A,µg RAE,Nam,19–30,Tăng cân,1.9,1881.0
Vitamin A,µg RAE,Nam,31–50,Giảm cân,1.2,972.0
Vitamin A,µg RAE,Nam,31–50,Giảm cân,1.375,1113.75
Vitamin A,µg RAE,Nam,31–50,Giảm cân,1.55,1255.5
Vitamin A,µg RAE,Nam,31–50,Giảm cân,1.725,1397.25
Vitamin A,µg RAE,Nam,31–50,Giảm cân,1.9,1539.0
Vitamin A,µg RAE,Nam,31–50,Giữ cân,1.2,1080.0
Vitamin A,µg RAE,Nam,31–50,Giữ cân,1.375,1237.5
Vitamin A,µg RAE,Nam,31–50,Giữ cân,1.55,1395.0
Vitamin A,µg RAE,Nam,31–50,Giữ cân,1.725,1552.5
Vitamin A,µg RAE,Nam,31–50,Giữ cân,1.9,1710.0
Vitamin A,µg RAE,Nam,31–50,Tăng cân,1.2,1188.0
Vitamin A,µg RAE,Nam,31–50,Tăng cân,1.375,1361.25
Vitamin A,µg RAE,Nam,31–50,Tăng cân,1.55,1534.5
Vitamin A,µg RAE,Nam,31–50,Tăng cân,1.725,1707.75
Vitamin A,µg RAE,Nam,31–50,Tăng cân,1.9,1881.0
Vitamin A,µg RAE,Nam,51+,Giảm cân,1.2,972.0
Vitamin A,µg RAE,Nam,51+,Giảm cân,1.375,1113.75
Vitamin A,µg RAE,Nam,51+,Giảm cân,1.55,1255.5
Vitamin A,µg RAE,Nam,51+,Giảm cân,1.725,1397.25
Vitamin A,µg RAE,Nam,51+,Giảm cân,1.9,1539.0
Vitamin A,µg RAE,Nam,51+,Giữ cân,1.2,1080.0
Vitamin A,µg RAE,Nam,51+,Giữ cân,1.375,1237.5
Vitamin A,µg RAE,Nam,51+,Giữ cân,1.55,1395.0
Vitamin A,µg RAE,Nam,51+,Giữ cân,1.725,1552.5
Vitamin A,µg RAE,Nam,51+,Giữ cân,1.9,1710.0
Vitamin A,µg RAE,Nam,51+,Tăng cân,1.2,1188.0
Vitamin A,µg RAE,Nam,51+,Tăng cân,1.375,1361.25
Vitamin A,µg RAE,Nam,51+,Tăng cân,1.55,1534.5
Vitamin A,µg RAE,Nam,51+,Tăng cân,1.725,1707.75
Vitamin A,µg RAE,Nam,51+,Tăng cân,1.9,1881.0
Vitamin A,µg RAE,Nữ,19–30,Giảm cân,1.2,756.0
Vitamin A,µg RAE,Nữ,19–30,Giảm cân,1.375,866.25
Vitamin A,µg RAE,Nữ,19–30,Giảm cân,1.55,976.5
Vitamin A,µg RAE,Nữ,19–30,Giảm cân,1.725,1086.75
Vitamin A,µg RAE,Nữ,19–30,Giảm cân,1.9,1197.0
Vitamin A,µg RAE,Nữ,19–30,Giữ cân,1.2,840.0
Vitamin A,µg RAE,Nữ,19–30,Giữ cân,1.375,962.5
Vitamin A,µg RAE,Nữ,19–30,Giữ cân,1.55,1085.0
Vitamin A,µg RAE,Nữ,19–30,Giữ cân,1.725,1207.5
Vitamin A,µg RAE,Nữ,19–30,Giữ cân,1.9,1330.0
Vitamin A,µg RAE,Nữ,19–30,Tăng cân,1.2,924.0
Vitamin A,µg RAE,Nữ,19–30,Tăng cân,1.375,1058.75
Vitamin A,µg RAE,Nữ,19–30,Tăng cân,1.55,1193.5
Vitamin A,µg RAE,Nữ,19–30,Tăng cân,1.725,1328.25
