drug_id,interaction_type,interacts_with,severity,description_en,management_en
1,food,Chamomile,moderate,"Examples include chamomile, garlic, ginger, ginkgo and ginseng.",
1,food,Garlic,moderate,"Examples include chamomile, garlic, ginger, ginkgo and ginseng.",
1,food,Ginger,moderate,"Examples include chamomile, garlic, ginger, ginkgo and ginseng.",
1,food,Ginkgo,moderate,"Examples include chamomile, garlic, ginger, ginkgo and ginseng.",
1,food,Ginseng,moderate,"Examples include chamomile, garlic, ginger, ginkgo and ginseng.",
6,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
6,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
6,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
6,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
6,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
6,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
6,food,Echinacea,moderate,Avoid echinacea.,Avoid echinacea.
8,food,Fluids / Water,minor,Drink plenty of fluids.,Drink plenty of fluids.
9,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
9,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
9,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
9,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
9,food,Ginkgo,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
9,food,Piracetam,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
11,food,Alcohol,moderate,Avoid alcohol.,Avoid alcohol.
12,food,Iron,minor,"Administer iron supplement. When initiating an erythropoiesis-stimulating agent, evaluate iron stores and start iron supplementation if indicated. Most patients with chronic kidney disease require iron supplementation while taking an erythropoiesis-stimulating agent.",Administer iron supplement.
13,food,Bilberry,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
13,food,Danshen,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
13,food,Garlic,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
13,food,Ginger,moderate,"Examples include garlic, ginger, bilberry, danshen, piracetam, and ginkgo biloba.",
